Player_Hand,Dealer_Hand,Count,Action
21,2,0,stand
21,3,0,stand
21,4,0,stand
21,5,0,stand
21,6,0,stand
21,7,0,stand
21,8,0,stand
21,9,0,stand
21,10,0,stand
21,11,0,stand
19,2,0,stand
19,3,0,stand
19,4,0,stand
19,5,0,stand
19,6,0,stand
19,7,0,stand
19,8,0,stand
19,9,0,stand
19,10,0,stand
19,11,0,stand
18,2,0,stand
18,3,0,stand
18,4,0,stand
18,5,0,stand
18,6,0,stand
18,7,0,stand
18,8,0,stand
18,9,0,stand
18,10,0,stand
18,11,0,stand
17,2,0,stand
17,3,0,stand
17,4,0,stand
17,5,0,stand
17,6,0,stand
17,7,0,stand
17,8,0,stand
17,9,0,stand
17,10,0,stand
17,11,0,stand
16,2,0,stand
16,3,0,stand
16,4,0,stand
16,5,0,stand
16,6,0,stand
16,7,0,hit
16,8,0,hit
16,9,0,hit
16,10,0,stand
16,11,0,stand
15,2,0,stand
15,3,0,stand
15,4,0,stand
15,5,0,stand
15,6,0,stand
15,7,0,hit
15,8,0,hit
15,9,0,hit
15,10,0,stand
15,11,0,hit
14,2,0,stand
14,3,0,stand
14,4,0,stand
14,5,0,stand
14,6,0,stand
14,7,0,hit
14,8,0,hit
14,9,0,hit
14,10,0,hit
14,11,0,hit
13,2,0,stand
13,3,0,stand
13,4,0,stand
13,5,0,stand
13,6,0,stand
13,7,0,hit
13,8,0,hit
13,9,0,hit
13,10,0,stand
13,11,0,hit
12,2,0,hit
12,3,0,hit
12,4,0,stand
12,5,0,stand
12,6,0,stand
12,7,0,hit
12,8,0,hit
12,9,0,hit
12,10,0,hit
12,11,0,hit
11,2,0,double
11,3,0,double
11,4,0,double
11,5,0,double
11,6,0,double
11,7,0,double
11,8,0,double
11,9,0,double
11,10,0,double
11,11,0,double
10,2,0,double
10,3,0,double
10,4,0,double
10,5,0,double
10,6,0,double
10,7,0,double
10,8,0,double
10,9,0,double
10,10,0,hit
10,11,0,hit
9,2,0,double
9,3,0,double
9,4,0,double
9,5,0,double
9,6,0,double
9,7,0,hit
9,8,0,hit
9,9,0,hit
9,10,0,hit
9,11,0,hit
8,2,0,hit
8,3,0,hit
8,4,0,hit
8,5,0,hit
8,6,0,hit
8,7,0,hit
8,8,0,hit
8,9,0,hit
8,10,0,hit
8,11,0,hit
7,2,0,hit
7,3,0,hit
7,4,0,hit
7,5,0,hit
7,6,0,hit
7,7,0,hit
7,8,0,hit
7,9,0,hit
7,10,0,hit
7,11,0,hit
6,2,0,hit
6,3,0,hit
6,4,0,hit
6,5,0,hit
6,6,0,hit
6,7,0,hit
6,8,0,hit
6,9,0,hit
6,10,0,hit
6,11,0,hit
5,2,0,hit
5,3,0,hit
5,4,0,hit
5,5,0,hit
5,6,0,hit
5,7,0,hit
5,8,0,hit
5,9,0,hit
5,10,0,hit
5,11,0,hit
4,2,0,hit
4,3,0,hit
4,4,0,hit
4,5,0,hit
4,6,0,hit
4,7,0,hit
4,8,0,hit
4,9,0,hit
4,10,0,hit
4,11,0,hit
